date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:01	416/416	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2009%20Jun%202023%2011:42:29%20GMT	https://hazem.gg/robots.txt		(from )
19:42:02	6459/6459	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jun%202023%2011:42:29%20GMT	https://hazem.gg/	https://devtrav.gg (from )
19:42:02	8580/8580	---MCZ	200	added ('OK')	text/css	etag:W/%22afda7699541d02514ef9cd130bbb4de8%22	https://hazem.gg/build/_assets/tailwind-JJBVZOO3.css	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/build/_assets/tailwind-JJBVZOO3.css	(from https://hazem.gg/)
19:42:02	25475/25475	---M--	200	added ('OK')	image/png	etag:%22b20b472df9871699e1f46647a8bb10d3%22	https://hazem.gg/hzmico.png	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/hzmico.png	(from https://hazem.gg/)
19:42:02	1314/1314	---MCZ	200	added ('OK')	application/javascript	etag:W/%220e91474510b68a9fec07eac0c9dcb0b8%22	https://hazem.gg/build/manifest-4102FB88.js	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/build/manifest-4102FB88.js	(from https://hazem.gg/)
19:42:02	134926/134926	---MCZ	200	added ('OK')	application/javascript	etag:W/%22716a8e8a2e64dbae634564bf641a0567%22	https://hazem.gg/build/entry.client-NRDGG6JP.js	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/build/entry.client-NRDGG6JP.js	(from https://hazem.gg/)
19:42:02	95294/95294	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a269ec097846829e410e857eaf81b43%22	https://hazem.gg/build/_shared/chunk-ZQC3WCQT.js	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/build/_shared/chunk-ZQC3WCQT.js	(from https://hazem.gg/)
19:42:03	29285/29285	---MCZ	200	added ('OK')	application/javascript	etag:W/%226075b0ae5c8342277bd7b4c4eccb051a%22	https://hazem.gg/build/_shared/chunk-PFYHVCRN.js	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/build/_shared/chunk-PFYHVCRN.js	(from https://hazem.gg/)
19:42:03	789/789	---M--	200	added ('OK')	application/javascript	etag:%22e37e46a2078faf311a49f2848ae94004%22	https://hazem.gg/build/root-XYAYAKIQ.js	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/build/root-XYAYAKIQ.js	(from https://hazem.gg/)
19:42:03	28832/28832	---MCZ	200	added ('OK')	application/javascript	etag:W/%22243568cb18a312911e1d0224682a8ef8%22	https://hazem.gg/build/routes/_index-M3YGFSHH.js	C:/My%20Web%20Sites/devtrav.gg/hazem.gg/build/routes/_index-M3YGFSHH.js	(from https://hazem.gg/)
